id_tienda,codigo_tienda,nombre_tienda,cadena,formato,region,ciudad,estado,superficie_m2,fecha_apertura
1,T1001,CompraFácil Juarez,CompraFácil,Super,Centro,Juarez,Nuevo León,1680,2019-03-26
2,T1002,TiendaFresh Juarez,TiendaFresh,Convenience,Este,Juarez,Puebla,180,2017-12-16
3,T1003,CompraFácil San Luis Potosi,CompraFácil,Express,Bajío,San Luis Potosi,CDMX,727,2023-03-05
4,T1004,TiendaFresh San Luis Potosi,TiendaFresh,Super,Sur,San Luis Potosi,Guanajuato,1260,2023-07-22
5,T1005,MercadoPlus Torreon,MercadoPlus,Express,Norte,Torreon,CDMX,686,2016-12-18
6,T1006,SuperMax Tlalnepantla,SuperMax,Convenience,Este,Tlalnepantla,Guanajuato,99,2018-10-13
7,T1007,CompraFácil Tijuana,CompraFácil,Convenience,Este,Tijuana,Jalisco,51,2022-07-03
8,T1008,SuperMax Culiacan,SuperMax,Convenience,Sur,Culiacan,Jalisco,168,2019-04-17
9,T1009,SuperMax Tijuana,SuperMax,Express,Norte,Tijuana,Puebla,675,2023-04-02
10,T1010,TiendaFresh Culiacan,TiendaFresh,Convenience,Oeste,Culiacan,Michoacán,159,2021-04-18
11,T1011,CompraFácil Mexicali,CompraFácil,Express,Bajío,Mexicali,Michoacán,660,2016-06-23
12,T1012,TiendaFresh Culiacan,TiendaFresh,Express,Bajío,Culiacan,Nuevo León,696,2024-03-26
13,T1013,MercadoPlus San Luis Potosi,MercadoPlus,Hiper,Este,San Luis Potosi,CDMX,2960,2019-12-17
14,T1014,TiendaFresh Monterrey,TiendaFresh,Hiper,Centro,Monterrey,Veracruz,2566,2016-10-20
15,T1015,MercadoPlus Tijuana,MercadoPlus,Express,Este,Tijuana,Guanajuato,419,2019-09-29
16,T1016,SuperMax Acapulco,SuperMax,Convenience,Este,Acapulco,Nuevo León,169,2018-12-07
17,T1017,CompraFácil Saltillo,CompraFácil,Super,Sur,Saltillo,Michoacán,1597,2022-08-18
18,T1018,SuperMax Aguascalientes,SuperMax,Convenience,Este,Aguascalientes,CDMX,126,2020-11-14
19,T1019,CompraFácil Acapulco,CompraFácil,Convenience,Oeste,Acapulco,Guanajuato,106,2021-08-20
20,T1020,CompraFácil Mexicali,CompraFácil,Express,Centro,Mexicali,Puebla,229,2019-09-16
21,T1021,CompraFácil Morelia,CompraFácil,Hiper,Bajío,Morelia,Guanajuato,4966,2016-05-26
